id;english;french
86;Cheese, processed food, cheddar;Fromage fondu, préparation, cheddar;;
87;Cheese, processed spread, cheddar;Fromage fondu à tartiner, cheddar;;
88;Cheese, goat, hard, (less than 35% water, 36% M.F.);Fromage chèvre, dur, (moins de 35% eau, 36% M.G.);;
89;Cheese, goat, semi-soft, (35% to 55% water, 30% M.F.);Fromage de chèvre, semi-mou, (35% à 55% eau, 30% M.G.);;
90;Cheese, goat, soft, (more than 55% water, 21% M.F.);Fromage de chèvre, mou, (plus de 55% eau, 21% M.G.);;
91;Cheese fondue;Fondue au fromage;;
92;Cheese sauce, homemade;Fromage, sauce, fait maison;;
93;Cheese, Mexican, queso anejo;Fromage mexicain, queso anejo;;
94;Cheese, Mexican, queso asadero;Fromage mexicain, queso asadero;;
95;Cheese, Mexican, queso chihuahua;Fromage Mexicain, queso chihuahua;;
96;Cheese, cheddar or colby type, low fat (7% M.F.);Fromage, type cheddar ou colby, faible en gras (7% M.G.);;
97;Cheese, cheddar or colby type, low-sodium;Fromage, type cheddar ou colby, faible en sodium;;
98;Cheese, cottage, (1% M.F.);Fromage cottage, (1% M.G.);;
99;Cheese, feta;Fromage féta;;
100;Cheese, gouda;Fromage gouda;;
101;Cheese, mozzarella, (52% water, 22.5% M.F.);Fromage mozzarella, (52% eau, 22.5% M.G.);;
102;Cheese, mozzarella, partially skim, (52% water, 16.5% M.F.);Fromage mozzarella, partiellement écrémé, (52% eau, 16.5% M.G.);;
103;Milk, evaporated, skim, canned, undiluted, 0.2% M.F.;Lait, concentré, écrémé, conserve, non dilué, 0.2% M.G.;;
104;Milk, fluid, whole, pasturized, homogenized, 3.3% M.F.;Lait, liquide, entier, homogénéisé, pasteurisé, 3.3% M.G.;;
105;Milk, fluid, skim;Lait, liquide, écrémé;;
106;Milk, dry, skim, powder, instant;Lait, poudre, écrémé, instant;;
107;Hot chocolate, cocoa, homemade, prepared with whole milk;Chocolat chaud, cacao, maison, préparé avec lait entier;;
108;Egg substitute, frozen (yolk replaced);Oeuf, succédané, congelé (jaune remplacé);;
109;Butter, regular;Beurre, salé;;
110;Cheese, cheddar;Fromage cheddar;;
111;Cheese, cottage, (2% M.F.);Fromage cottage, (2% M.G.);;
112;Cheese, processed, cheddar;Fromage fondu, cheddar;;
113;Coffee whitener (non dairy), powdered;Colorant à café (non laitier), en poudre;;
114;Milk, fluid, whole, producer, 3.7% M.F.;Lait, liquide, entier, agriculteur, 3.7% M.G.;;
115;Milk, fluid, buttermilk, cultured, 1% M.F.;Babeurre, liquide, culture, 1% M.G.;;
116;Egg, chicken, whole, fresh or frozen, raw;Oeuf, poule, entier, frais ou congelé, cru;;
117;Egg, chicken, white, fresh or frozen, raw;Oeuf, poule, blanc, frais ou congelé, cru;;
118;Egg, chicken, yolk, fresh or frozen, raw;Oeuf, poule, jaune, frais ou congelé, cru;;
119;Egg, chicken, whole, fried;Oeuf, poule, entier, frit;;
120;Egg, chicken, whole, boiled in shell, hard-cooked;Oeuf, poule, entier, bouilli à la coque, dur;;
121;Egg, chicken, whole, poached;Oeuf, poule, entier, poché;;
122;Egg, chicken, whole, scrambled or omelet;Oeuf, poule, entier, brouillé ou omelette;;
123;Milk, dry, skim, powder, regular;Lait, en poudre, écrémé;;
124;Cream, table (coffee), 18% M.F.;Crème à café (crème de table), 18% M.G.;;
125;Cream, whipping, 32% M.F.;Crème à fouetter, 32% M.G.;;
126;Cream, whipping, 35% M.F.;Crème à fouetter, 35% M.G.;;
127;Cream, sour, cultured, 14% M.F;Crème sure, de culture, 14% M.G.;;
128;Milk, evaporated, whole, canned, undiluted, 7.8% M.F.;Lait, concentré, entier, conserve, non dilué, 7,8% M.G.;;
129;Yogourt, plain, 2% to 4% M.F.;Yogourt, nature, 2% à 4% M.G.;;
130;Yogourt, plain, less than 1% M.F.;Yogourt, nature, moins de 1% M.G.;;
131;Yogourt, coffee and vanilla flavours, 1.9% M.F.;Yogourt, saveurs de café et de vanille, 1,9% M.G.;;
132;Yogourt, fruit bottom, 1% to 2% M.F.;Yogourt, fruits au fond, 1% à 2% M.G.;;
133;Yogourt, fruit bottom, less than 1% M.F.;Yogourt, fruits au fond, moins de 1% M.G.;;
134;Yogourt, fruit bottom, 2% to 4% M.F.;Yogourt, fruits au fond, 2% à 4% M.G.;;
135;Cheese, cottage, less than 0.1% M.F.;Fromage cottage, moins de 0,1% M.G.;;
136;Cheese, cream, reduced calories (20% M.F.);Fromage à la crème, réduit en calories (20% M.G.);;
137;Cream, cereal (half and half), 10% M.F.;Crème à céréales (moitié-moitié), 10% M.G.;;
138;Cream, table (coffee), 15% M.F.;Crème, à café (de table), 15% M.G.;;
139;Cream, sour, cultured, 18% M.F.;Crème sure, de culture, 18% M.G.;;
140;Milk, evaporated, partly skimmed, canned, undiluted, 2% M.F.;Lait, concentré, partiellemente écrémé, conserve, non dilué, 2% M.G.;;
141;Yogourt, plain, more than 4% M.F.;Yogourt, nature, plus de 4% M.G.;;
142;Yogourt, stirred or swiss style, plain;Yogourt, brassé ou à la suisse, nature;;
143;Yogourt, beverage, YOP, YOPLAIT;Yogourt à boire, YOP, YOPLAIT;;
144;Yogourt, fruit bottom, more than 4% M.F.;Yogourt, fruits au fond, plus de 4% M.G.;;
145;Cheese, processed spread, cheddar, with skim milk;Fromage fondu à tartiner, cheddar, avec lait écrémé;;
146;Cheese, calorie reduced (6% M.F.);Fromage, réduit en calories (6% M.G.);;
147;Cheese, calorie reduced (0.5% M.F.);Fromage, réduit en calories (0,5% M.G.);;
148;Cream, table (coffee), 20% M.F.;Crème de table (à café) 20% M.G.;;
149;Dessert, frozen yogourt;Dessert, congelé, yogourt glacé;;
150;Yogourt, fruit, stirred/swiss style;Yogourt, fruits, brassé ou à la suisse;;
151;Spices, allspice, ground;Épices, piments de la jamaïque, moulu;;
152;Spices, anise seeds;Épices, anis, graines;;
153;Spices, basil, dried;Épices, basilic, déshydraté;;
154;Spices, bay leaf;Épices, laurier, feuilles;;
155;Spices, caraway seed;Épices, carvi, graines;;
156;Spices, cardamom, ground;Épices, cardamome, moulue;;
157;Spices, celery seed;Épices, céleri, graines;;
158;Spices, chervil, dried;Épices, cerfeuil, déshydraté;;
159;Spices, chili powder;Épices, chili, poudre;;
160;Spices, cinnamon, ground;Épices, cannelle, moulue;;
161;Spices, cloves, ground;Épices, clou de girofle, moulu;;
162;Spices, coriander leaf (cilantro), dried;Épices, coriandre (cilantro), feuilles, déshydraté;;
163;Spices, coriander seed (cilantro);Épices, coriandre (cilantro), graines;;
164;Spices, cumin seed;Épices, cumin, graines;;
165;Spices, curry powder;Épices, cari, poudre;;
166;Spices, dill seed;Épices, aneth, graines;;
167;Spices, dill weed, dried;Épices, aneth, déshydraté;;
168;Spices, fennel seed;Épices, fenouil, graines;;
169;Spices, fenugreek seed;Épices, fenugrec, graines;;
170;Spices, garlic powder;Épices, ail, poudre;;
171;Spices, ginger, ground;Épices, gingembre, moulu;;
172;Spices, mace, ground;Épices, macis, moulu;;
173;Spices, marjoram, dried;Épices, marjolaine, déshydratée;;
174;Spices, mustard seed, yellow;Épices, moutarde, graines, jaune;;
175;Spices, nutmeg, ground;Épices, muscade, moulue;;
176;Spices, onion powder;Épices, oignon, poudre;;
177;Spices, oregano, ground;Épices, origan, moulu;;
178;Spices, paprika;Épices, paprika;;
179;Spices, parsley, dried;Épices, persil, déshydraté;;
180;Spices, pepper, black;Épices, poivre, noir;;
181;Spices, pepper, red or cayenne;Épices, piment rouge ou de cayenne;;
182;spices, pepper, white;Épices, poivre, blanc;;
183;Spices, poppy seed;Épices, pavot, graines;;
184;Spices, poultry seasoning;Épices, assaisonnement pour volaille;;
185;Spices, pumpkin pie spice;Épices, assaisonnement pour tarte à la citrouille;;
186;Spices, rosemary, dried;Épices, romarin, déshydraté;;
187;Spices, saffron;Épices, safran;;
188;Spices, sage, ground;Épices, sauge, moulue;;
189;Spices, savory, ground;Épices, sarriette, moulue;;
190;Spices, tarragon, dried;Épices, estragon, déshydraté;;
191;Spices, thyme, dried;Épices, thym, déshydraté;;
192;Spices, turmeric, ground;Épices, curcuma, moulu;;
193;Basil, fresh;Basilic, frais;;
194;Spices, dill weed, fresh;Épices, aneth, frais;;
195;Salt, table;Sel, table;;
196;Spices, thyme, fresh;Épices, thym, frais;;
197;Vanilla extract;Vanille, extrait;;
198;Vanilla extract, imitation, with alcohol;Vanille, extrait, imitation, avec alcool;;
199;Vanilla extract, imitation, without alcohol;Vanille, extrait, imitation, sans alcool;;
200;Grains, barley, malt extract, dried;Grains céréaliers, orge, malt, extrait, déshydraté;;
201;Babyfood, dinners, beef stroganoff, toddler, HEINZ;Bébé, diners, stroganoff au boeuf, tout-petits, HEINZ;;
202;Babyfood, dinners, beef vegetable casserole, toddler HEINZ;Bébé, diners, casserole de boeuf et légumes, tout-petits, HEINZ;;
203;Babyfood, baked products, teething biscuits;Bébé, produits de boulangerie, biscuits de dentition;;
204;Babyfood, baked products, crackers, cheddar, HEINZ;Bébé, produits de boulangerie, craquelins, au cheddar, HEINZ;;
205;Babyfood, dinners, country casserole with chicken, toddler, HEINZ;Bébé, diners, plat campagnard avec poulet, tout-petits, HEINZ;;
206;Babyfood, dinners, beef, pasta and vegetables, toddler, HEINZ;Bébé, diners, boeuf, nouilles et légumes, tout-petits, HEINZ;;
207;Babyfood, dinners, vegetables and chicken, junior, HEINZ;Bébé, diners, légumes et poulet, pour enfants, HEINZ;;
208;Babyfood, fruit juices, pear, HEINZ;Bébé, jus de fruits, poires, HEINZ;;
209;Babyfood, fruits, bananas and applesauce, strained, HEINZ;Bébé, fruits, bananes et compote de pommes, purée, HEINZ;;
210;Babyfood, dinners, lamb vegetable casserole, toddler, HEINZ;Bébé, diners, casserole d'agneau et légumes, tout-petits, HEINZ;;
211;Babyfood, dinners, Spanish chicken with rice, toddler, HEINZ;Bébé, diners, poulet à l'Espagnole avec riz, tout-petits, HEINZ;;
212;Babyfood, vegetables, peas, junior, HEINZ;Bébé, légumes, pois, pour enfants, HEINZ;;
213;Babyfood, dinners, chicken caccciatore, toddler, HEINZ;Bébé, diners, poulet chasseur, tout-petits, HEINZ;;
214;Babyfood, cereals, nutrios, dry, toddlers, HEINZ;Bébé, céréales, nutrios, séchés, tout-petits, HEINZ;;
215;Babyfood, desserts, bumbleberry pie, toddler, HEINZ;Bébé, desserts, tarte aux trois fruits, tout-petits, HEINZ;;
216;Babyfood, desserts, traditional rice pudding, toddler, HEINZ;Bébé, desserts, pouding au riz traditionnel, tout-petits, HEINZ;;
217;Babyfood, cereals, barley, dry, HEINZ;Bébé, céréales, orge, séchés, HEINZ;;
218;Babyfood, cereals, barley, with whole milk, HEINZ;Bébé, céréales, orge, avec lait entier, HEINZ;;
219;Babyfood, cereals, mixed cereal, dry, HEINZ;Bébé, céréales, mélangées, séchés, HEINZ;;
220;Babyfood, cereals, mixed cereal, with whole milk, HEINZ;Bébé, céréales, mélangées, avec lait entier, HEINZ;;
221;Babyfood, cereals, mixed cereal, with banana, dry, HEINZ;Bébé, céréales, mélangées, avec bananes, séchés, HEINZ;;
222;Babyfood, cereals, mixed cereal with banana, with whole milk, HEINZ;Bébé, céréales, mélangées avec bananes, avec lait entier, HEINZ;;
223;Babyfood, cereals, mixed cereal with fruit, dry, HEINZ;Bébé, céréales, mélangées avec fruits, séchés, HEINZ;;
224;Babyfood, cereals, mixed cereal with fruit, prepared with whole milk, HEINZ;Bébé, céréales, mélangées avec fruits, préparées avec lait entier, HEINZ;;
225;Babyfood, cereals, oatmeal, dry, HEINZ;Bébé, céréales, avoine, séché, HEINZ;;
226;Babyfood, cereals, oatmeal, with whole milk, HEINZ;Bébé, céréales, avoine, avec lait entier, HEINZ;;
227;Babyfood, cereals, rice, with apple, dry, HEINZ;Bébé, céréales, riz avec pommes, séchés, HEINZ;;
228;Babyfood, cereals, rice, with apple, with whole milk, HEINZ;Bébé, céréales, riz, avec pommes, avec lait entier, HEINZ;;
229;Babyfood, desserts, custard, strained, HEINZ;Bébé, desserts, costarde, purée, HEINZ;;
230;Babyfood, desserts, fruit salad, strained, HEINZ;Bébé, desserts, salade de fruits, purée, HEINZ;;
231;Babyfood, desserts, tutti frutti, strained, HEINZ;Bébé, desserts, tutti frutti, purée, HEINZ;;
232;Babyfood, dinners, alphabet beef, junior, HEINZ;Bébé, diners, boeuf et alphabet, pour enfants, HEINZ;;
233;Babyfood, dinners, beef stew, junior, HEINZ;Bébé, diners, ragoût de boeuf, enfants, HEINZ;;
234;Babyfood, dinners, chicken casserole with vegetables and noodles, strained;Bébé, diners, casserole de poulet avec légumes et nouilles, purée;;
235;Babyfood, dinners, chicken casserole with vegetables and rice, HEINZ;Bébé, diners, casserole de poulet avec légumes et riz, enfants,  HEINZ;;
236;Babyfood, dinners, chicken casserole with vegetables and rice, strained, HEINZ;Bébé, diners, casserole de poulet avec légumes et riz, purée, HEINZ;;
237;Babyfood, dinners, ham and egg casserole, strained, HEINZ;Bébé, diners, casserole, jambon et oeufs, purée, HEINZ;;
238;Babyfood, dinners, turkey stew, junior, HEINZ;Bébé, diners, ragoût de dinde, pour enfants, HEINZ;;
239;Babyfood, dinners, vegetables, beef and liver, strained HEINZ;Bébé, diners, légumes, boeuf et foie, purée, HEINZ;;
240;Babyfood, dinners, vegetables, beef and spaghetti, strained, HEINZ;Bébé, diners, légumes, boeuf et spaghetti, purée, HEINZ;;
241;Babyfood, dinners, vegetables and chicken, strained HEINZ;Bébé, diners, poulet et légumes, purée, HEINZ;;
242;Babyfood, fruits, pears and pineapple, strained, HEINZ;Bébé, fruits, poires et ananas, purée, HEINZ;;
243;Babyfood, desserts, plums, strained, HEINZ;Bébé, desserts, prunes, purée, HEINZ;;
244;Babyfood, fruits, prunes, strained, HEINZ;Bébé, fruits, pruneaux, purée, HEINZ;;
245;Babyfood, fruit juices, apple, HEINZ;Bébé, jus de fruits, pommes, HEINZ;;
246;Babyfood, fruit juices, apple cherry, HEINZ;Bébé, jus de fruits, pommes et cerises, HEINZ;;
247;Babyfood, fruit drinks, apple prune, strained, HEINZ;Bébé, boisson aux fruits, pommes et pruneaux, purée, HEINZ;;
248;Babyfood, fruit juices, mixed fruit, HEINZ;Bébé, jus de fruits, mélange de fruits, HEINZ;;
249;Babyfood, meats, lamb with broth, strained, HEINZ;Bébé, viandes, agneau avec bouillon, purée, HEINZ;;
250;Babyfood, vegetables, carrots, junior, HEINZ;Bébé, légumes, carottes, pour enfants, HEINZ;;
251;Babyfood, vegetables, creamed corn, strained, HEINZ;Bébé, légumes, maïs en crème, purée, HEINZ;;
252;Babyfood, vegetables, garden, stsrained, HEINZ;Bébé, légumes, du jardin, purée, HEINZ;;
253;Babyfood, vegetables, garden, junior, HEINZ;Bébé, légumes, du jardin, pour enfants, HEINZ;;
254;Babyfood, vegetables, mixed, junior, HEINZ;Bébé, légumes, mélangés, pour enfants, HEINZ;;
255;Babyfood, vegetables, peas, beginner, HEINZ;Bébé, légumes, pois, débutant, HEINZ;;
256;Babyfood, vegetables, peas and carrots, strained, HEINZ;Bébé, légumes, pois et carottes, purée, HEINZ;;
257;Babyfood, vegetables, squash, junior, HEINZ;Bébé, légumes, courge, pour enfants, HEINZ;;
258;Babyfood, dinners, beef casserole with vegetables and noodles, strained, HEINZ;Bébé, diners, casserole de boeuf avec légumes et nouilles, purée, HEINZ;;
259;Babyfood, dinners, vegetables and turkey, strained HEINZ;Bébé, diners, légumes et dinde, purée, HEINZ;;
260;Babyfood, dinners, vegatables and turkey, junior, HEINZ;Bébé, diners, légumes et dinde, pour enfants, HEINZ;;
261;Babyfood, dinners, vegetable veal casserole, strained, HEINZ;Bébé, diners, casserole de légumes et veau, purée, HEINZ;;
262;Babyfood, fruits, applesauce, junior, HEINZ;Bébé, fruits, compote de pommes, pour enfants, HEINZ;;
263;Babyfood, fruits, bananas, beginner, HEINZ;Bébé, fruits, bananes, débutant, HEINZ;;
264;Babyfood, fruits, bartlett pears, junior, HEINZ;Bébé, fruits, poires bartlett, pour enfants, HEINZ;;
265;Babyfood, vegetables, beans, green, junior, HEINZ;Bébé, légumes, haricots, verts, pour enfants, HEINZ;;
266;Babyfood, vegatables, sweet potato, junior, HEINZ;Bébé, légumes, patates douces, pour enfants, HEINZ;;
267;Babyfood, baked products, cookies, arrowroot, HEINZ;Bébé, produits de boulangerie, biscuits à l'arrowroot, HEINZ;;
268;Babyfood, cereals, rice, dry, HEINZ;Bébé, céréales, riz, séchés, HEINZ;;
269;Babyfood, cereals, rice, with whole milk, HEINZ;Bébé, céréales, riz, avec lait entier, HEINZ;;
270;Babyfood, dinners, vegetable, rice and chicken, strained, HEINZ;Bébé, diners, légumes, riz et poulet, purée, HEINZ;;
271;Babyfood, dinners, vegetable beef, strained, HEINZ;Bébé, diners, légumes et boeuf, purée, HEINZ;;
272;Babyfood, dinners, vegetable beef, junior, HEINZ;Bébé, diners, légumes et boeuf, pour enfant, HEINZ;;
273;Babyfood, dinners, vegetables, beef and macaroni, junior, HEINZ;Bébé, diners, légumes, boeuf et macaroni, enfants, HEINZ;;
274;Babyfood, dinners, vegetables, beef and spaghetti, junior, HEINZ;Bébé, diners, légumes, boeuf et spaghetti, enfants, HEINZ;;
275;Babyfood, fruits, bananas and pineapple, strained, HEINZ;Bébé, fruits, bananes et ananas, purée, HEINZ;;
276;Babyfood, fruits, mixed fruit, strained, HEINZ;Bébé, fruits, fruits mélangés, purée, HEINZ;;
277;Babyfood, fruits, mixed fruit, junior, HEINZ;Bébé, fruits, fruits mélangés, pour enfants, HEINZ;;
278;Babyfood, fruits, peaches, beginner, HEINZ;Bébé, fruits, pêches, débutant, HEINZ;;
279;Babyfood, meats, beef with broth, strained, HEINZ;Bébé, viandes, boeuf avec bouillon, purée, HEINZ;;
280;Babyfood, meats, chicken with broth, strained, HEINZ;Bébé, viandes, poulet avec bouillon, purée, HEINZ;;
281;Babyfood, meats, veal with broth, strained, HEINZ;Bébé, viandes, veau avec bouillon, purée, HEINZ;;
282;Babyfood, vegetables, beans, wax (yellow), beginner, HEINZ;Bébé, légumes, haricots, jaunes, débutant, HEINZ;;
283;Babyfood, vegetables, carrots, beginner, HEINZ;Bébé, légumes, carottes, débutant, HEINZ;;
284;Babyfood, vegetables, squash, beginner, HEINZ;Bébé, légumes, courge, débutant, HEINZ;;
285;Animal fat, beef tallow;Gras animal, suif de boeuf (gras de boeuf);;
286;Sandwich spread, with chopped pickle, regular, unspecified oils;Tartinade pour sandwich, avec cornichons hachés, ordinaire, huiles non spécifiées;;
287;Vegetable oil, rice bran;Huile végétale, son de riz;;
288;Vegetable oil, wheat germ;Huile végétale, germe de blé;;
289;Vegetable oil, peanut;Huile végétale, arachide;;
290;Vegetable oil, soybean;Huile végétale, soya;;
291;Vegetable oil, coconut;Huile végétale, noix de coco;;
292;Vegetable oil, olive;Huile végétale, olive;;
293;Vegetable oil, palm;Huile végétale, palme;;
294;Vegetable oil, sesame;Huile végétale, sésame;;
295;Vegetable oil, sunflower, linoleic (less than 60%);Huile végétale, tournesol, acide linoléique (moins de 60%);;
296;Salad dressing, french, homemade, unspecified oil;Vinaigrette, française, fait maison, huile non spécifiée;;
297;Salad dressing, homemade, cooked;Vinaigrette, faite maison, cuite;;
298;Salad dressing, oil and vinegar, homemade;Vinaigrette, huile et vinaigre, faite maison;;
299;Vegetable oil, cocoa butter;Huile végétale, beurre de cacao;;
300;Vegetable oil, cottonseed;Huile végétale, graine de coton;;
301;Vegetable oil, sunflower, linoleic (60% and over);Huile végétale, tournesol, acide linoléique (60% et plus);;
302;Vegetable oil, safflower, linoleic (70% and over);Huile végétale, carthame, acide linoléique (70% et plus);;
303;Vegetable oil, safflower, oleic (70% and over);Huile végétale, carthame, acide oléique (70% et plus);;
304;Vegetable oil, palm kernel;Huile végétale, palmiste;;
305;Vegetable oil, poppyseed;Huile végétale, graines de pavot;;
306;Vegetable oil, grapeseed;Huile végétale, pépins de raisin;;
307;Vegetable oil, corn;Huile végétale, maïs;;
308;Animal fat, mutton tallow;Gras animal, suif de mouton (gras de mouton);;
309;Vegetable oil, walnut;Huile végétale, noix;;
310;Vegetable oil, almond;Huile végétale, amande;;
311;Vegetable oil, apricot kernel;Huile végétale, noyaux d'abricots;;
312;Vegetable oil, soybean lecithin;Huile végétale, lécithine de soya;;
313;Vegetable oil, hazelnut;Huile végétale, noisette;;
314;Vegetable oil, babassu;Huile végétale, babassu;;
315;Animal fat, chicken;Gras animal, poulet;;
316;Shortening, household, soybean (hydrogenated) and palm;Shortening, domestique, huile de soya (hydrogénée) et palme;;
317;Animal fat, duck;Gras animal, canard;;
318;Animal fat, turkey;Gras animal, dinde;;
319;Animal fat, goose;Gras animal, oie;;
320;Vegetable oil, avocado;Huile végétale, avocat;;
321;Vegetable oil, canola;Huile végétale, canola (colza);;
322;Vegetable oil, mustard;Huile végétale, moutarde;;
323;Vegetable oil, sunflower, oleic (70% and over);Huile végétale, tournesol, acide oléique (70% et plus);;
324;Shortening, special purpose, cake and icing (frosting);Shortening, usagé déterminé, gâteau et glaçage;;
325;Shortening, special purpose, baking;Shortening, usage déterminé, cuisson;;
326;Vegetable oil, oat;Huile végétale, avoine;;
327;Fish oil, cod liver;Huile de poisson, foie de morue;;
328;Fish oil, herring;Huile de poisson, hareng;;
329;Fish oil, menhaden;Huile de poisson, menhaden;;
330;Fish oil, menhaden, fully hydrogenated;Huile de poisson, menhaden, entièrement hydrogénée;;
331;Fish oil, salmon;Huile de poisson, saumon;;
332;Fish oil, sardine;Huile de poisson, sardine;;
333;Shortening, multipurpose, hydrogenated soybean and palm;Shortening, tout usage, soya et palme hydrogéné;;
334;Animal fat, lard (pork);Gras animal, saindoux (porc);;
